missing_type,missing_level,best_nmae,gen_lr,disc_lr,dropout,l2_reg,n_critic,batch_size,alpha,beta,noise_level,gen_Layers,disc_layers
mcar,0.2,0.726789113127118,0.3,0.01,0.05,0.01,3,32,20,10,15,1,6
mcar,0.5,0.716689923760269,0.2,0.0001,0.05,0.01,1,256,20,10,15,1,2
mcar,0.7,0.7183691176403688,0.2,1e-05,0.3,0.001,3,256,100,10,15,2,3
mnar_central,0.2,0.696784819970955,0.2,0.0001,0.05,0.01,2,16,30,10,5,1,5
mnar_central,0.5,0.7907405936138647,0.1,0.001,0.2,0.01,1,32,20,10,10,4,1
mnar_central,0.7,0.990973626194178,0.1,0.0001,0.2,0.0001,4,128,30,10,10,2,5
mnar_upper,0.2,0.6976807700973454,0.3,0.0001,0.2,1e-05,3,256,90,10,15,3,3
mnar_upper,0.5,0.6901205249611103,0.1,1e-05,0.1,1e-05,3,128,30,10,20,4,1
mnar_upper,0.7,0.7037607510656098,0.2,1e-05,0.3,0.01,5,512,70,10,10,1,6
mnar_lower,0.2,0.7182305962041896,0.2,1e-05,0.05,0.001,2,16,80,10,20,3,1
mnar_lower,0.5,0.7108070395862736,0.2,0.01,0.2,0.01,1,32,50,10,15,1,1
mnar_lower,0.7,0.7038687854661797,0.1,0.0001,0.05,0.01,1,128,100,10,10,3,6
