reference,timestamp,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,learning_rate,latent_dimensions,n_latent_samples,dropout,l2_reg,batch_size,encoder_layers_count,decoder_layers_count
raw_2,20250810_205438,0.8641726395388872,0.0012981079776402354,0.8643576782729632,0.0013990260799956209,0.9963362068965516,0.0011505472254343936,0.9256649371931862,0.0006555921217721908,0.8328293040507692,0.006827704905599557,0.0001,8,10,0.1,0.0001,64,3,3
raw_2,20250810_205831,0.8488064086586672,0.00019018867468151575,0.8488064086586672,0.00019018867468151575,1.0,0.0,0.9182209604005823,0.00011127908292647615,0.821374044743455,0.005010641536523542,0.01,32,50,0.3,0.001,64,4,1
raw_2,20250810_210225,0.8650872179488627,0.000977191212749465,0.8654375555662774,0.0005715124921338397,0.9959051724137931,0.0014295796510152507,0.926098156568443,0.0005669837663135233,0.8316193310067022,0.00547729219375869,0.001,16,5,0.05,0.001,256,1,3
raw_2,20250810_210528,0.874234173405104,0.00217154027058228,0.8846815545263903,0.00233800076662415,0.9795258620689655,0.0028914672122842063,0.9296853741938934,0.0012131666157765588,0.8391750472350339,0.0079425059005708,0.001,4,50,0.1,1e-05,64,1,4
raw_2,20250810_210940,0.8634407090722813,0.0019914701134417893,0.8637837680746957,0.0022040219696526442,0.9962284482758621,0.000761968514209658,0.9252881536523709,0.0009495283212614476,0.8326687611675144,0.0062808320707615556,1e-05,4,20,0.2,1e-05,32,1,4
raw_2,20250810_213232,0.8488064086586672,0.00019018867468151575,0.8488064086586672,0.00019018867468151575,1.0,0.0,0.9182209604005823,0.00011127908292647615,0.821335482783876,0.003244346131703733,1e-05,4,30,0.3,0.0001,128,2,5
raw_2,20250810_214030,0.873319469492648,0.002411755741756958,0.8793877752274721,0.0018000870867188954,0.9859913793103449,0.0012286373115292307,0.9296425587112713,0.0013059295682417065,0.8338789872564062,0.0073809612233573805,0.001,4,5,0.3,0.0001,256,2,3
raw_2,20250810_214257,0.8488064086586672,0.00019018867468151575,0.8488064086586672,0.00019018867468151575,1.0,0.0,0.9182209604005823,0.00011127908292647615,0.7837057023577266,0.013481461932976483,0.0001,4,5,0.2,0.001,32,4,1
raw_2,20250810_215015,0.8743249953668666,0.004767358846817948,0.8914644991320012,0.0021288073013727635,0.9700431034482758,0.004515587680982092,0.9290911635986733,0.002774385283800742,0.8420353712271165,0.012153622435922981,0.001,32,40,0.2,0.0001,64,2,5
raw_2,20250810_215443,0.8488064086586672,0.00019018867468151575,0.8488064086586672,0.00019018867468151575,1.0,0.0,0.9182209604005823,0.00011127908292647615,0.810091355594175,0.006116828824512213,0.01,8,10,0.2,1e-05,256,5,4
raw_2,20250810_215721,0.8488064086586672,0.00019018867468151575,0.8488064086586672,0.00019018867468151575,1.0,0.0,0.9182209604005823,0.00011127908292647615,0.8193983935747726,0.006275860032296907,0.01,8,40,0.3,0.001,64,5,1
raw_2,20250810_220303,0.8488064086586672,0.00019018867468151575,0.8488064086586672,0.00019018867468151575,1.0,0.0,0.9182209604005823,0.00011127908292647615,0.8206331294966016,0.004574949186244562,0.001,8,5,0.3,0.001,128,3,4
raw_2,20250810_220640,0.8488064086586672,0.00019018867468151575,0.8488064086586672,0.00019018867468151575,1.0,0.0,0.9182209604005823,0.00011127908292647615,0.7976133127819501,0.006566701646065862,0.0001,4,5,0.3,1e-05,128,3,2
raw_2,20250810_221006,0.8574039979233523,0.0012284669242560704,0.856497028230014,0.0008411451598116159,0.9994612068965516,0.00048191120204737873,0.9224727183760733,0.0006320490041012385,0.8119513766230384,0.008031682660927311,0.001,16,5,0.3,0.0001,64,4,2
raw_2,20250810_221346,0.8739597831484472,0.004680969713222317,0.8914315647908537,0.0032677592292908995,0.9696120689655172,0.003982697976848349,0.9288731938742252,0.0026504676897061564,0.8404531820707334,0.011109983773092007,1e-05,16,20,0.05,0.0001,128,3,3
raw_2,20250810_222453,0.8750567166626716,0.0038989170567790936,0.8937454681883811,0.002716366100167359,0.9678879310344828,0.005329423715033728,0.9293280254924312,0.002326026749904338,0.8426456536863057,0.010273033710573955,0.01,8,20,0.05,1e-05,32,1,2
raw_2,20250810_222911,0.8642639635105722,0.001661682883478909,0.8649135024125659,0.0009067896155197682,0.995581896551724,0.0014214338317104387,0.9256585581992566,0.0009153281882025397,0.8290015512190347,0.006666734830147973,0.0001,32,10,0.1,1e-05,128,1,1
raw_2,20250810_223327,0.8729527094103016,0.004853688852171919,0.89052671703301,0.0016705250041626671,0.9695043103448275,0.00508410608279545,0.9283336893309657,0.002862732638055611,0.8335214655014569,0.008866374861601592,0.01,8,50,0.3,0.001,32,2,5
raw_2,20250810_223955,0.8745996366284846,0.0016356849153916493,0.8936159093542522,0.00250590203343988,0.9674568965517242,0.004040589064494092,0.9290610536078694,0.0010241717990707967,0.8451915751561874,0.009328523508482634,0.0001,16,10,0.3,0.0001,64,3,2
raw_2,20250810_224646,0.8488064086586672,0.00019018867468151575,0.8488064086586672,0.00019018867468151575,1.0,0.0,0.9182209604005823,0.00011127908292647615,0.7903168787113242,0.010082866484117098,0.01,16,40,0.05,0.0001,256,4,1
raw_2,20250810_224943,0.8488064086586672,0.00019018867468151575,0.8488064086586672,0.00019018867468151575,1.0,0.0,0.9182209604005823,0.00011127908292647615,0.8183675264468837,0.0038097533739074865,1e-05,4,10,0.05,0.001,128,5,4
raw_2,20250810_225706,0.8488064086586672,0.00019018867468151575,0.8488064086586672,0.00019018867468151575,1.0,0.0,0.9182209604005823,0.00011127908292647615,0.8108401152305955,0.0059605987499733075,0.01,8,5,0.1,0.001,64,5,5
raw_2,20250810_230221,0.8762462710075465,0.003808907149562662,0.8881059847417119,0.0038288055561870784,0.9773706896551724,0.00352487655900781,0.9305923462054457,0.002057013383635578,0.8462460716394068,0.010083214507187455,0.0001,16,20,0.05,0.0001,32,3,2
raw_2,20250810_231049,0.8766115250601262,0.003955760520659275,0.8949633485440829,0.0040839217293673225,0.9683189655172415,0.005746677424988513,0.9301768964378665,0.0022850858386230417,0.8437340399252446,0.00943059339891804,0.01,16,50,0.05,0.001,256,3,2
raw_2,20250810_231303,0.8488064086586672,0.00019018867468151575,0.8488064086586672,0.00019018867468151575,1.0,0.0,0.9182209604005823,0.00011127908292647615,0.820038774556693,0.004241638177478795,0.01,16,30,0.05,0.0001,32,3,2
raw_2,20250810_231957,0.8488064086586672,0.00019018867468151575,0.8488064086586672,0.00019018867468151575,1.0,0.0,0.9182209604005823,0.00011127908292647615,0.8188423598812375,0.004553785239177809,0.0001,8,20,0.2,0.0001,64,3,5
raw_2,20250810_232619,0.8729533787568645,0.001573094706511215,0.8913951748516048,0.0025992127040071838,0.9683189655172415,0.0034984230777474305,0.9282571149121776,0.0009122463688586819,0.8367524898032308,0.008206949619240933,0.0001,16,20,0.1,0.0001,64,3,4
raw_2,20250810_233718,0.8641724722022464,0.001798984864096536,0.8640892002691686,0.002109220433995368,0.9967672413793103,0.0009638224040947202,0.9256957112279558,0.0008494744137176858,0.8330978403487421,0.0071651251208240665,0.0001,32,20,0.3,0.0001,32,3,4
raw_2,20250810_235301,0.8784413512266405,0.0034413116009931353,0.8894329878767229,0.0035780978453914944,0.9784482758620691,0.004003055090734191,0.9318081172202917,0.001896411303138732,0.8458768432317761,0.010278276226705138,0.01,8,40,0.05,1e-05,32,1,2
raw_2,20250810_235912,0.8783500272549553,0.0030027084467918242,0.8896601509837501,0.0041495862164817555,0.9780172413793103,0.0036764487304379264,0.9317344006496053,0.0015575658613755515,0.8468307245546411,0.008465482761376418,0.01,4,40,0.05,0.001,32,1,2
raw_2,20250811_000746,0.8757888981342383,0.004126288388043117,0.8922705238280138,0.003269876776240069,0.970905172413793,0.004145556909842939,0.9299197316705439,0.0023362347495426736,0.8356587274716116,0.00924181429182828,0.001,16,40,0.05,0.0001,256,1,2
raw_2,20250811_001112,0.8645382282647486,0.0019710536999791523,0.8644131386322569,0.0022531580972623973,0.9967672413793103,0.0011301819484591863,0.9258811764923027,0.0009397119142638727,0.8330088198699676,0.006799868079726671,0.01,32,40,0.3,0.001,64,3,5
raw_2,20250811_001452,0.8630747438389786,0.0023452568258766765,0.8635308565963502,0.0025016055599861343,0.9961206896551724,0.0008620689655172597,0.9250959567969177,0.0011285524514253445,0.8323879164338457,0.0074543350007326694,1e-05,16,40,0.1,0.0001,256,3,2
raw_2,20250811_002218,0.8663680125971023,0.0016095444522006921,0.8676781730941328,0.001241998630777389,0.9941810344827585,0.0015009039091793217,0.9266308707041111,0.000884121842762041,0.8267004340927244,0.008958212585910957,0.001,4,40,0.05,0.001,32,2,2
raw_2,20250811_003144,0.8669167512762556,0.001604100752417137,0.8682369937781115,0.0012433577624916489,0.9940732758620691,0.0010222880366923858,0.9269030813341119,0.0008582077482183815,0.8269190470637724,0.009753148635696453,0.001,16,50,0.1,0.0001,128,1,5
