param_gamma,param_learning_rate,param_max_depth,param_n_estimators,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1
0.1,0.01,6,500,0.8543816938788444,0.010843116397651564,0.8746109816242942,0.0058063273616734985,0.9587831808406783,0.008799645489369472,0.9147528831373016,0.006494103493938106
0.01,0.1,3,100,0.8533273669030054,0.012656647829500458,0.8727034617389731,0.007316172773674392,0.9600772132404165,0.008161072361403085,0.9143028719096723,0.0074296023010938595
0.1,0.1,3,200,0.8536791698933307,0.012336422274676608,0.8761762154757078,0.007800914018460818,0.9555469348859859,0.010170782337528037,0.9141137559408806,0.007371085361154364
0.01,0.01,6,500,0.8531510016956411,0.011137568701474662,0.874136467259814,0.0056596945706104945,0.9577041991980447,0.009085892795164077,0.9140037563403052,0.006701924044627975
0.1,0.01,3,500,0.8508644368292595,0.009805645755689483,0.8644722273446162,0.005755277450074631,0.9689252820939374,0.007037763339775345,0.913714763725735,0.005706369613337807
0.1,0.1,3,100,0.8520960564368665,0.013326283244958064,0.8716716812456206,0.00835708573268407,0.9598614635101036,0.008115073263049763,0.9136337921342145,0.007744914631771029
0.01,0.01,3,500,0.850512788409668,0.010028503205349372,0.8641392815335113,0.005890334647510926,0.9689252820939374,0.007037763339775345,0.9135292806266264,0.005828491763685504
0.01,0.1,3,200,0.8526240700638222,0.0128020021945555,0.876170976270763,0.0077651421053609075,0.9540357548095182,0.010625097960581888,0.9134197235123604,0.007687559047194979
0.01,0.01,6,200,0.8482257598310851,0.009413943795474854,0.8570607629279028,0.006034125149501347,0.9766941363137551,0.006910278919847472,0.9129612297398632,0.005385602440537787
0.1,0.01,6,200,0.8473460977845377,0.009501242687682168,0.8563971872880127,0.006658206528508563,0.9764783865834422,0.006192508246734832,0.9124887436367516,0.005337210668623505
0.01,0.1,6,200,0.852272112502763,0.010216501174709777,0.8827725638870451,0.005505134544158513,0.9441103352508498,0.008712402902580331,0.9123984839461727,0.006238373873267792
0.01,0.1,6,100,0.8508644368292597,0.011638134962556348,0.8773952864519995,0.006623229456469616,0.9497195952479143,0.007973147432392476,0.9121206752131208,0.006930728797393527
0.1,0.1,3,500,0.8506888444755646,0.01046905469155433,0.8765225657272323,0.007394822818141622,0.9507985768905478,0.01006355792902778,0.912112065371612,0.0063260846721972155
0.1,0.1,6,100,0.8503381234803765,0.013395892441547914,0.8773479576465549,0.007907297236691889,0.949073045030184,0.011440958802713057,0.9117718087667213,0.008110393488416433
0.1,0.1,6,200,0.8508656733951308,0.012503359549480387,0.8811854783504162,0.006164287642274913,0.9443260849811626,0.010663368168310422,0.9116488987216634,0.007658108569196514
0.1,0.1,6,500,0.8508656733951308,0.012503359549480387,0.8811854783504162,0.006164287642274913,0.9443260849811626,0.010663368168310422,0.9116488987216634,0.007658108569196514
0.01,0.1,3,500,0.8501611399900766,0.01057637531982945,0.8776448042027418,0.00762002113145108,0.9484253298571066,0.008555908457773804,0.9116353820374113,0.006290874908683504
0.01,0.01,9,200,0.8466418735209512,0.007453749477573042,0.8617501266749356,0.0050003500024954324,0.966983068538983,0.005311732036541959,0.9113295400193971,0.004273133370619122
0.1,0.01,9,200,0.846114478176931,0.007641576320694344,0.8612572877100639,0.005277763806918722,0.9669833015300524,0.005608703844246738,0.9110517067764672,0.004387598702173193
0.1,0.01,3,200,0.8411898545953106,0.005204994236903903,0.8430070831116234,0.004127944366322005,0.9894270982593237,0.004388483891258307,0.910356359318494,0.002881681057606058
0.01,0.01,3,200,0.8410139531001478,0.005346710942598464,0.8428538187305661,0.004280727184585909,0.9894270982593237,0.004388483891258307,0.910266501637204,0.0029456714259581303
0.1,0.1,9,100,0.8485770991092089,0.008263132816884868,0.8825725464933711,0.0031946999258262057,0.9391471594893769,0.008333905318813714,0.9099699500266507,0.005178302321114524
0.1,0.01,9,500,0.8455881648280478,0.008433085811981962,0.8732200332686574,0.0038531177019766587,0.948210745082141,0.00971245701322343,0.909147467067096,0.005321353649923372
0.1,0.1,9,200,0.8469944493649461,0.009505996563516894,0.8828261574010412,0.003618388601472994,0.9365576967434839,0.010233262930549025,0.9088778040214741,0.006015828109483993
0.1,0.1,9,500,0.8469944493649461,0.009505996563516894,0.8828261574010412,0.003618388601472994,0.9365576967434839,0.010233262930549025,0.9088778040214741,0.006015828109483993
0.1,0.01,6,100,0.8373207945554004,0.005986606968558774,0.836522261469262,0.00409009476391947,0.9948210745082141,0.0021998593826477253,0.9088276035827985,0.003211277042262888
0.01,0.01,9,100,0.8376722884042582,0.005799671787906672,0.8390539935192575,0.004576440880075517,0.9909371133804441,0.0044522122940091,0.9086805253187027,0.0031597637601390345
0.01,0.01,6,100,0.8369688369943413,0.0057180533993387685,0.8363370290577189,0.003722506335414326,0.9946053247779012,0.002362995196656345,0.9086291279783305,0.0030904352262264754
0.01,0.1,9,100,0.8455872374036444,0.0087050957794621,0.878942260109438,0.004846229833338157,0.9400094594374199,0.007790898763506384,0.9084375578063254,0.005325296593908503
0.1,0.01,9,100,0.8371444293480362,0.0053579239098673626,0.8390853904816404,0.004226777714613956,0.9900741144591928,0.003941747127158305,0.908338202600043,0.0029071966346772404
0.01,0.01,9,500,0.8441811074374799,0.008981866770449841,0.8731842264354659,0.005885495023512694,0.9462673665718393,0.007786709769970071,0.9082389059033005,0.005398098072021671
0.01,0.1,6,500,0.8464684451575307,0.012496861116814934,0.8853055442701413,0.0077638556897733305,0.9324575199032621,0.010919366619809663,0.9082373323694668,0.007614812496072673
0.01,0.1,9,200,0.8438296135886223,0.010708778405814488,0.8802310872942579,0.004820287329421649,0.9356951638043712,0.011417222404990907,0.9070869666490985,0.00674244094719474
0.1,0.01,3,100,0.83028504389036,0.0020694532517395734,0.828119470757524,0.0015960175306427508,0.9991367680876792,0.00043161619198125875,0.9056244921420522,0.0010641263084659068
0.01,0.01,3,100,0.83028504389036,0.0020694532517395734,0.828119470757524,0.0015960175306427508,0.9991367680876792,0.00043161619198125875,0.9056244921420522,0.0010641263084659068
0.01,0.1,9,500,0.8387287793703715,0.011016794774606434,0.8810839163654425,0.004925417392580003,0.9272781284293373,0.012246151920277469,0.9035539443061442,0.007005206872635571
0.01,1.0,3,100,0.8389062265728731,0.01242671622628703,0.8831577482872015,0.006873234565935914,0.9246886656834443,0.011476166349140218,0.9034166949201452,0.007728631372930722
0.1,1.0,3,100,0.8390808915021648,0.010424510021152234,0.8862056864304542,0.005536674848790569,0.9208049375467438,0.01080801142761538,0.903143507348507,0.006591815992051111
0.1,1.0,3,500,0.8389045262948004,0.01378564264852327,0.8868418446043126,0.007820766859809833,0.9197257229130408,0.013542542480073473,0.9029361117278778,0.008662997577641501
0.1,1.0,3,200,0.8389045262948004,0.01378564264852327,0.8868418446043126,0.007820766859809833,0.9197257229130408,0.013542542480073473,0.9029361117278778,0.008662997577641501
0.01,1.0,3,200,0.8373223402627394,0.014977421264481114,0.8859340437594472,0.005921469396875212,0.9186460422971988,0.015590722187385244,0.9019478463386298,0.00960043432140097
0.01,0.001,9,100,0.8149842415136803,0.00039431112369051806,0.8149842415136803,0.00039431112369051806,1.0,0.0,0.8980620059051528,0.00023942348351173255
0.01,0.001,6,500,0.8149842415136803,0.00039431112369051806,0.8149842415136803,0.00039431112369051806,1.0,0.0,0.8980620059051528,0.00023942348351173255
0.01,0.001,6,200,0.8149842415136803,0.00039431112369051806,0.8149842415136803,0.00039431112369051806,1.0,0.0,0.8980620059051528,0.00023942348351173255
0.01,0.001,6,100,0.8149842415136803,0.00039431112369051806,0.8149842415136803,0.00039431112369051806,1.0,0.0,0.8980620059051528,0.00023942348351173255
0.01,0.001,3,500,0.8149842415136803,0.00039431112369051806,0.8149842415136803,0.00039431112369051806,1.0,0.0,0.8980620059051528,0.00023942348351173255
0.01,0.001,3,200,0.8149842415136803,0.00039431112369051806,0.8149842415136803,0.00039431112369051806,1.0,0.0,0.8980620059051528,0.00023942348351173255
0.01,0.001,3,100,0.8149842415136803,0.00039431112369051806,0.8149842415136803,0.00039431112369051806,1.0,0.0,0.8980620059051528,0.00023942348351173255
0.01,0.001,9,200,0.8149842415136803,0.00039431112369051806,0.8149842415136803,0.00039431112369051806,1.0,0.0,0.8980620059051528,0.00023942348351173255
0.1,0.001,3,500,0.8149842415136803,0.00039431112369051806,0.8149842415136803,0.00039431112369051806,1.0,0.0,0.8980620059051528,0.00023942348351173255
0.1,0.001,3,200,0.8149842415136803,0.00039431112369051806,0.8149842415136803,0.00039431112369051806,1.0,0.0,0.8980620059051528,0.00023942348351173255
0.01,0.001,9,500,0.8149842415136803,0.00039431112369051806,0.8149842415136803,0.00039431112369051806,1.0,0.0,0.8980620059051528,0.00023942348351173255
0.1,0.001,6,100,0.8149842415136803,0.00039431112369051806,0.8149842415136803,0.00039431112369051806,1.0,0.0,0.8980620059051528,0.00023942348351173255
0.1,0.001,9,500,0.8149842415136803,0.00039431112369051806,0.8149842415136803,0.00039431112369051806,1.0,0.0,0.8980620059051528,0.00023942348351173255
0.1,0.001,6,500,0.8149842415136803,0.00039431112369051806,0.8149842415136803,0.00039431112369051806,1.0,0.0,0.8980620059051528,0.00023942348351173255
0.1,0.001,3,100,0.8149842415136803,0.00039431112369051806,0.8149842415136803,0.00039431112369051806,1.0,0.0,0.8980620059051528,0.00023942348351173255
0.1,0.001,9,200,0.8149842415136803,0.00039431112369051806,0.8149842415136803,0.00039431112369051806,1.0,0.0,0.8980620059051528,0.00023942348351173255
0.1,0.001,9,100,0.8149842415136803,0.00039431112369051806,0.8149842415136803,0.00039431112369051806,1.0,0.0,0.8980620059051528,0.00023942348351173255
0.1,0.001,6,200,0.8149842415136803,0.00039431112369051806,0.8149842415136803,0.00039431112369051806,1.0,0.0,0.8980620059051528,0.00023942348351173255
0.1,1.0,9,200,0.830113315805012,0.012938225383344784,0.8806055012062739,0.010799869074036766,0.915839897856715,0.0072151609037338395,0.8978425453105465,0.007452266764487398
0.1,1.0,9,500,0.830113315805012,0.012938225383344784,0.8806055012062739,0.010799869074036766,0.915839897856715,0.0072151609037338395,0.8978425453105465,0.007452266764487398
0.1,1.0,9,100,0.830113315805012,0.012938225383344784,0.8806055012062739,0.010799869074036766,0.915839897856715,0.0072151609037338395,0.8978425453105465,0.007452266764487398
0.01,1.0,6,100,0.8299347866073733,0.01242209182997872,0.8812478261432795,0.005575199647388635,0.9145430695641437,0.011335281887437468,0.8975693585036584,0.00783198462456732
0.01,1.0,6,500,0.8292319534803919,0.013159682030354114,0.8811445851965608,0.005751832342946321,0.91368100260717,0.012150756700895894,0.8970976299153497,0.008321012426363527
0.01,1.0,6,200,0.8292319534803919,0.013159682030354114,0.8811445851965608,0.005751832342946321,0.91368100260717,0.012150756700895894,0.8970976299153497,0.008321012426363527
0.01,1.0,3,500,0.8297605853902834,0.013004477594686545,0.8860382487890938,0.004858235876181612,0.9078569248440707,0.013575172554954468,0.8967812540720367,0.00843128646987242
0.01,1.0,9,500,0.8274727839580309,0.010601718923119941,0.8816891424342493,0.0032070824599452234,0.9104468535721025,0.010705495291015355,0.8958222531125596,0.006811958675173842
