missing_type,missing_level,mean arterial pressure,heart rate,respiratory rate,PCO2 (Arterial),PO2 (Arterial),FiO2,arterial pH,sodium,potassium,creatinine,hematocrit,white blood cell,HCO3 (serum),average_norm_mae
mcar,0.2,0.999495895,0.583917774,0.748036326,0.708830209,0.507969029,0.433299731,0.628404179,0.7858045,0.745646765,1.297525183,0.599359189,0.710047721,0.591168744,0.71842348
mcar,0.5,1.16310264,0.604886493,0.642332299,0.70889351,0.515833714,0.456235903,0.620069894,0.785346698,0.731218734,1.171653195,0.618791061,0.714415541,0.606089518,0.718374554
mcar,0.7,1.079486774,0.603156228,0.673658021,0.704451461,0.509865373,0.436595064,0.615812439,0.790992161,0.729595396,1.141849313,0.599581495,0.724630513,0.577502354,0.706705892
mnar_central,0.2,1.223963292,0.610557339,0.648124128,0.666610948,0.522718077,0.468364936,0.604020552,0.79915416,0.669976129,1.132169895,0.590331409,0.689701866,0.586580496,0.708636402
mnar_central,0.5,1.133428717,0.678288098,1.230520378,1.335232478,0.634360256,0.426497033,1.454109465,1.557474937,1.590954093,1.240956233,1.34035649,1.13979951,0.599019681,1.104692105
mnar_central,0.7,3.481815921,0.600103021,0.648521533,0.747564702,0.515325979,0.604170233,0.627656025,0.818527526,0.768500584,2.413824545,0.636025054,0.683950618,0.585025301,1.010077773
mnar_lower,0.2,1.214782393,0.685906593,0.625374164,0.751091148,0.494469705,0.496156591,0.640010668,0.8440902,0.666151688,1.3043668,0.600435682,0.539558042,0.727979023,0.737720977
mnar_lower,0.5,0.97032029,0.686799824,0.658574363,0.685321883,0.544567193,0.433436756,0.608829447,0.816654454,0.763158815,0.759056972,0.560987021,0.673543917,0.693440209,0.681130088
mnar_lower,0.7,1.081595856,0.649084942,0.626267234,0.682154334,0.488728407,0.456269688,0.676733755,0.869003348,0.875836919,1.231686676,0.549617798,0.636585958,0.690282931,0.73183445
mnar_upper,0.2,1.013991144,0.595345195,0.694293194,0.692666613,0.483702566,0.474579963,0.712466157,0.627528893,0.70156286,1.021312593,0.601789075,0.65924211,0.701374144,0.690758039
mnar_upper,0.5,1.117549575,0.639038944,0.779156854,0.837587019,0.616300944,0.386665173,0.740018983,0.697959108,0.868918688,1.017052967,0.70223655,0.79858898,0.89944585,0.776963049
mnar_upper,0.7,0.99289005,0.575771985,0.698799268,0.672746196,0.504557989,0.553759156,0.713507721,0.808485155,0.690774547,1.040141561,0.590036294,0.721387293,0.583528703,0.703568148
