imputation_type,hyperparameter,mean arterial pressure,heart rate,respiratory rate,PCO2 (Arterial),PO2 (Arterial),FiO2,arterial pH,sodium,potassium,creatinine,hematocrit,white blood cell,HCO3 (serum),average_normalised_mae
mean,0,1.096497302,0.594228896,0.647133788,0.708437604,0.497056248,0.448614247,0.592325109,0.792249635,0.725013988,1.229085209,0.598255127,0.670741291,0.583570301,0.706400673
knn,3,1.280036594,0.608584995,0.744175063,0.742725993,0.489546721,0.389551242,0.632201341,0.917944785,0.774066567,1.106157324,0.658649692,0.732146005,0.583254531,0.743003143
knn,5,1.212924766,0.579778917,0.691451511,0.709057991,0.472138227,0.387556669,0.584042202,0.875337423,0.742398872,1.049910233,0.631479567,0.696093798,0.569787234,0.707842878
knn,10,1.13387941,0.561383476,0.641561713,0.687551435,0.450842436,0.383837696,0.559129575,0.820383436,0.70476778,0.996439258,0.609668746,0.66208883,0.552281324,0.674139624
knn,15,1.091161852,0.557407787,0.630982368,0.671629999,0.446193414,0.381010394,0.551678206,0.807862986,0.690432126,0.9775384,0.596675408,0.650308228,0.544799054,0.661360017
knn,20,1.08228645,0.557749288,0.62425614,0.669964887,0.444887777,0.38285047,0.548397626,0.801173313,0.691993478,0.96761919,0.595511649,0.644956169,0.543268322,0.658070366
mice,20,1.089189016,0.540505015,0.601589364,0.640561434,0.413675796,0.38680438,0.511176339,0.784179948,0.659689655,1.109997751,0.579503349,0.644378566,0.504478669,0.651209945
mice,50,1.089189016,0.540505015,0.601589364,0.640561434,0.413675796,0.38680438,0.511176339,0.784179948,0.659689655,1.109997751,0.579503349,0.644378566,0.504478669,0.651209945
mice,100,1.089189016,0.540505015,0.601589364,0.640561434,0.413675796,0.38680438,0.511176339,0.784179948,0.659689655,1.109997751,0.579503349,0.644378566,0.504478669,0.651209945
mice,200,1.089189016,0.540505015,0.601589364,0.640561434,0.413675796,0.38680438,0.511176339,0.784179948,0.659689655,1.109997751,0.579503349,0.644378566,0.504478669,0.651209945
