imputation_type,hyperparameter,mean arterial pressure,heart rate,respiratory rate,PCO2 (Arterial),PO2 (Arterial),FiO2,arterial pH,sodium,potassium,creatinine,hematocrit,white blood cell,HCO3 (serum),average_normalised_mae
mean,0,1.1792306948771536,0.3809783348691549,0.4782069218037981,0.4692665722140694,0.31559417746991675,0.5250292731103658,0.36236826351053153,0.492644839252424,0.4725250913266569,1.3748366994268637,0.34546706248063164,0.5184196978963337,0.3479743823344987,0.5586570777363383
knn,3,1.4591929347260189,0.5172786229028565,0.6208562236046482,0.607496375481984,0.4316009211155465,0.49190061540592134,0.5057281058074635,0.733890271679068,0.6469823800912351,1.1462555254904985,0.5196955111189052,0.6233756297420637,0.47981417228876416,0.6756974838042287
knn,5,1.3491404500805697,0.45525113828554614,0.548662845124588,0.5408664312011425,0.378250575183152,0.4940924433629107,0.45457291632650465,0.6566688115357969,0.5733914089771945,1.0389064992890131,0.4570724512519428,0.5710186462977986,0.42036137465504464,0.610635076274708
knn,10,1.2109542811406317,0.4028221885246861,0.48706013632097617,0.4884416944370909,0.3470089704998184,0.49480459820162026,0.4072204201086534,0.5856125701091851,0.5013002412813644,0.9476181428367222,0.4054538259747809,0.5263463292929849,0.377028862946886,0.5524363278211847
knn,15,1.1586055533748183,0.386652906471377,0.4681380144248137,0.47263058874017766,0.3348484945289211,0.49035078314785674,0.3924691080300593,0.5576252206197779,0.47845859369469496,0.9099354096621857,0.39031783188756736,0.5084903030636984,0.3603761639081874,0.5314537670426258
knn,20,1.1273725630262503,0.37457551869583905,0.4545446171336173,0.4665088964031509,0.33076000514652054,0.4883541207822654,0.38440005814305667,0.5440487841009541,0.46613407185098904,0.8946039211749596,0.3817010543561557,0.4930084892093847,0.3521410147832182,0.5198579319081816
mice,20,1.34776689762139,0.48089432907528407,0.6256115086291991,0.5523660276517305,0.3621247056267381,0.46554039316737766,0.4810760890230397,0.6773383944810286,0.5980097941644263,1.3411730090062428,0.4669526181430085,0.622984267134797,0.4139729486883377,0.6489085371086616
mice,50,1.3774509816224485,0.4849600643828437,0.6345481952844261,0.5619639582653528,0.36720839022702206,0.45679513954955653,0.4814079765521962,0.6991461944644156,0.6165630154960596,1.3214134706131453,0.4820774414109562,0.6796441811672953,0.42327786090961406,0.6604966823034872
mice,100,1.3936738422931825,0.49172037809451513,0.6386085436999402,0.5685097448649471,0.37129399670926105,0.45282652474276847,0.4830005659985886,0.7118313034374762,0.6296190101497762,1.319165215434989,0.5071900658875562,0.7360419092944841,0.42993104334468424,0.6718009341501668
mice,200,1.396305862257681,0.501680165983694,0.638985555598874,0.5704180410003862,0.3735229622798305,0.45323832102631023,0.4837717441280878,0.7137709896216726,0.6336836940830912,1.3212348649571575,0.5238798251229964,0.7606451688218479,0.43194464659132265,0.6771601416517654
