Imputation,Hyperparameter,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,std_test_roc_auc,mean_test_roc_auc
mean,0,0.1,0.1,6.0,100.0,0.9209377834868946,0.0025920686780187994,0.9304419874257407,0.002171800537244357,0.986954760895474,0.0011177780791862722,0.9578641664230059,0.001347302310705843,0.007984743485148639,0.8756938838765418
knn,3,0.1,0.1,3.0,300.0,0.9190951066183963,0.002562416001404983,0.9271655910919163,0.0016248652933216507,0.988822755914154,0.0015661594811326928,0.9570013450295551,0.0013569409094984371,0.008344409567401692,0.8531317200072609
knn,5,0.01,0.1,3.0,300.0,0.9200873308400952,0.0030085658416832326,0.928114161443893,0.0018746759320490167,0.9888228528722678,0.0017075739389104125,0.957506443691158,0.0015911733388904367,0.008614690022851198,0.8605259821195803
knn,10,0.1,0.1,3.0,300.0,0.9200589459864844,0.0027164405365429876,0.9286379966131074,0.00170908165513325,0.9881378341031161,0.0015965445387536121,0.9574637067057983,0.0014377269102487547,0.008598630703913061,0.8641467631410764
knn,15,0.01,0.1,3.0,300.0,0.9200307138260275,0.0032873620697200165,0.9288115848493724,0.001948659538237653,0.9878888553629277,0.0019561062599005724,0.9574389588552714,0.0017454514409457114,0.008025308966109996,0.8646542301866026
knn,20,0.1,0.1,3.0,300.0,0.9197471626397464,0.0021520365286042268,0.928564657727015,0.0014355951294016253,0.9878576833293711,0.0013780915982735014,0.9572931994138532,0.0011396866549073313,0.00894603309244263,0.8656289951644325
mice,20,0.01,0.1,3.0,300.0,0.9204274508215533,0.002565114525287488,0.9290921290247048,0.001706200515796773,0.9880133301893048,0.001514011888785377,0.9576464394958821,0.001355642062364264,0.007431666377335874,0.868298619001572
mice,50,0.1,0.1,3.0,300.0,0.9204841642734024,0.002558964753151706,0.9291959752420146,0.0015369699328054462,0.9879510733844935,0.001550613845184574,0.9576726182651025,0.001357937246386771,0.00756840357702142,0.8681987810575308
mice,100,0.1,0.1,6.0,100.0,0.9203139837354468,0.002322174093529023,0.9290846133622035,0.0017492748247358832,0.9878887487090028,0.0013535266826406214,0.9575836836352944,0.0012175422098573173,0.008109771478262246,0.868961501031859
mice,200,0.1,0.1,6.0,100.0,0.9203139837354468,0.002322174093529023,0.9290846133622035,0.0017492748247358832,0.9878887487090028,0.0013535266826406214,0.9575836836352944,0.0012175422098573173,0.008109771478262246,0.868961501031859
