Imputation,Hyperparameter,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,std_test_roc_auc,mean_test_roc_auc
mean,0,0.1,0.1,6.0,100.0,0.7916280105878344,0.022406310840736552,0.7906567384083056,0.022473683258730875,0.7936103699053001,0.031078252335487184,0.7918915014179823,0.023377864847072247,0.015828100046564795,0.8732354799487714
knn,3,0.01,0.1,3.0,300.0,0.7699163980396782,0.016603849265067434,0.7659263244205249,0.020974090903304907,0.7784479150316539,0.027806214997310615,0.7717511737491203,0.017318520644290573,0.014682098558702998,0.8489886995496653
knn,5,0.01,0.1,3.0,200.0,0.764841313520455,0.016005806883516223,0.7587446496041836,0.017282960281594737,0.7769672474232199,0.020373406704144944,0.7676273213581426,0.016050623343165243,0.013300316584432873,0.8465469808848519
knn,10,0.01,0.1,3.0,300.0,0.7769786670859868,0.014830141982670653,0.7745442418749353,0.01300567476343442,0.7817114006173809,0.03161240640657171,0.7777712528420929,0.01765741099808439,0.011961804561454679,0.857041175594121
knn,15,0.01,0.1,6.0,100.0,0.7711743585711666,0.022039523841378562,0.7707944955033719,0.020654870920100574,0.7718934756448491,0.03113746299711633,0.7711578926333151,0.023549910764671892,0.016191647999133432,0.856125009193985
knn,20,0.01,0.1,3.0,200.0,0.7717211127709203,0.02001391224466735,0.7679204934228462,0.02101468857441838,0.779141160466698,0.02513543816901732,0.7733370886302049,0.020407596234114724,0.016033587762936518,0.8553356297443807
mice,20,0.1,0.1,6.0,100.0,0.7814958592132505,0.007550315266960604,0.784927334390001,0.011418443478067537,0.7758986030450477,0.015648753929449484,0.7802286938483898,0.007982894742358212,0.01078590621056372,0.8630185834135201
mice,50,0.01,0.1,3.0,200.0,0.7784154938805462,0.011048575257168259,0.7778292121032281,0.01629221471445334,0.7802294249986921,0.01806964773734015,0.7788003333849306,0.010700188787338662,0.009855516949348947,0.8598872779510417
mice,100,0.1,0.1,6.0,100.0,0.778421062976649,0.010998078707867315,0.7804005698152527,0.01216796100435554,0.7751700413331241,0.018972794973509306,0.7776315198914753,0.012018906646586976,0.011608149841105203,0.85947922614322
mice,200,0.01,0.1,3.0,300.0,0.7878220247923055,0.01793815431515596,0.7848175305469711,0.01584522718673034,0.7932349709621723,0.03147119763241199,0.7887355316523299,0.019846969840356422,0.01478913501567647,0.8661783333598727
mean,0,0.01,0.1,3.0,200.0,0.7843888408417853,0.013117950042535352,0.780499716798109,0.013568233825463625,0.7917974676921468,0.02925492721133669,0.7857591066064791,0.015664220027093105,0.012854371903695434,0.8658128677120134
